stadium name,City/State,Year built,indoor/outdoor,Address,Dome/Outdoors,Field,Lat,Long,stadium,team_away
Pro Player Stadium,"Miami, FL",,,,,,29.63806,-95.28194,Lambeau Field,Denver Broncos
Qualcomm Stadium,"San Diego, CA",1967,outdoor,"9449 Friars Rd, San Diego, CA 92108",warm,Grass,,,Lucas Oil Stadium,Atlanta Falcons
Ralph Wilson Stadium,"Orchard Park, NY",1973,outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,FieldTurf,,,Arrowhead Stadium,Baltimore Ravens
Reliant Stadium,"Houston, TX",2002,retractable,"NRG Pkwy, Houston, TX 77054",dome,Grass,,,StubHub Center,Houston Texans
Rice Stadium,"Houston, TX",,outdoor,"2176 University Boulevard, Houston, TX 77251",warm,Grass,,,U.S. Bank Stadium,Oakland Raiders
Rogers Centre,"Toronto, Canada",,indoor,"1 Blue Jays Way, Toronto, ON M5V 1J1, Canada",dome,,41.8558,-87.6094,Gillette Stadium,New York Jets
Rose Bowl,"Pasadena, CA",,outdoor,,moderate,Grass,39.7633,-104.8694,Lincoln Financial Field,Detroit Lions
Shea Stadium,"Flushing, NY",,outdoor,"123-01 Roosevelt Avenue, Flushing, NY 11368",cold,Grass,,,Levi's Stadium,Pittsburgh Steelers
Soldier Field,"Chicago, IL",1926,outdoor,"1410 Museum Campus Dr, Chicago, IL 60605",cold,Grass,33.938,-118.3888,CenturyLink Field,New Orleans Saints
Sports Authority Field at Mile High,"Denver, CO",2001,outdoor,"1701 Bryant St, Denver, CO 80204",cold,Grass,25.7905,-80.3163,Raymond James Stadium,New York Giants
Stanford Stadium,"Palo Alto, CA",,,,,,,,FedEx Field,Chicago Bears
StubHub Center,"Los Angeles, CA",2017,outdoor,"18400 S Avalon Blvd, Carson, CA 90746",warm,Grass,,,Lambeau Field,Philadelphia Eagles
Sun Life Stadium,"Miami Gardens, FL",1987,outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056",warm,,,,University of Phoenix Stadium,Seattle Seahawks
