Player,Week,Opponent,Win/Loss,Field Goals Made,Field Goals Attempted,FG%,Extra Point Made,Extra Point Attempted,FF Points
 Ryan Succop,9,at CAR,L 20-30,0,3,0.00%,2,2,2
 Ryan Succop,10,KC,W 35-32,0,0,0.00%,3,4,3
 Ryan Succop,12,JAC,W 42-20,0,0,0.00%,6,6,6
 Ryan Succop,13,at IND,W 31-17,1,1,100.00%,4,4,7
 Ryan Succop,14,at LV,W 42-21,0,1,0.00%,6,6,6
 Ryan Succop,15,HOU,L 21-24,0,1,0.00%,3,3,3
 Greg Joseph,16,NO,L 28-38,0,0,0.00%,4,4,4
 Greg Joseph,17,at HOU,W 35-14,0,0,0.00%,5,5,5
 Aldrick Rosas,1,at DAL,L 17-35,1,1,100.00%,2,2,5
 Aldrick Rosas,2,BUF,L 14-28,0,1,0.00%,2,2,2
 Aldrick Rosas,3,at TB,W 32-31,1,1,100.00%,3,3,6
 Aldrick Rosas,4,WAS,W 24-3,1,1,100.00%,3,3,6
 Aldrick Rosas,5,MIN,L 10-28,1,1,100.00%,1,1,4
 Aldrick Rosas,6,at NE,L 14-35,0,0,0.00%,2,2,2
 Aldrick Rosas,7,ARI,L 21-27,0,1,0.00%,3,3,3
 Aldrick Rosas,8,at DET,L 26-31,0,0,0.00%,2,3,2
 Aldrick Rosas,9,DAL,L 18-37,4,4,100.00%,0,1,12
 Aldrick Rosas,10,at NYJ,L 27-34,0,0,0.00%,1,2,1
 Aldrick Rosas,12,at CHI,L 14-19,0,2,0.00%,2,2,2
 Aldrick Rosas,13,GB,L 13-31,2,2,100.00%,1,1,7
 Aldrick Rosas,14,at PHI,L 17-23,1,1,100.00%,2,2,5
 Aldrick Rosas,15,MIA,W 36-20,0,0,0.00%,4,5,4
 Aldrick Rosas,16,at WAS,W 41-35,0,1,0.00%,5,5,5
 Aldrick Rosas,17,PHI,L 17-34,1,1,100.00%,2,2,5
